95.85.96.0,95.85.127.255,8192,31/12/08,State Company of Electro Communications Turkmentelecom
119.235.112.0,119.235.127.255,4096,28/02/11,State Company of Electro Communications Turkmentelecom
217.174.224.0,217.174.239.255,4096,12/04/01,State Company of Electro Communications Turkmentelecom

